seqn,svy_day,in_weekday,drank_water,drday,if_winter,age,gender,pir
31127,1,weekend,not drank water,7,not in winter,0,Male,.75
31127,2,weekend,not drank water,1,not in winter,0,Male,.75
31128,1,weekday,not drank water,6,in winter,11,Female,.76999998
31128,2,weekday,has drank water,2,in winter,11,Female,.76999998
31129,1,weekday,has drank water,2,not in winter,15,Male,2.71
31129,2,weekend,has drank water,1,not in winter,15,Male,2.71
31130,1,,,,not in winter,85,Female,1.99
31130,2,,,,not in winter,85,Female,1.99
31131,1,weekday,has drank water,6,not in winter,44,Female,4.6500001
31131,2,weekday,has drank water,4,not in winter,44,Female,4.6500001
31132,1,weekday,has drank water,3,not in winter,70,Male,5
31132,2,weekend,has drank water,1,not in winter,70,Male,5
31133,1,weekend,has drank water,7,not in winter,16,Female,5
31133,2,weekday,has drank water,6,not in winter,16,Female,5
31134,1,weekend,not drank water,1,not in winter,73,Male,
31134,2,weekday,has drank water,4,not in winter,73,Male,
31135,1,weekday,has drank water,6,not in winter,0,Male,5
31135,2,weekday,has drank water,2,not in winter,0,Male,5
31137,1,weekday,has drank water,5,in winter,14,Female,.1
31137,2,weekday,not drank water,3,in winter,14,Female,.1
31138,1,weekday,has drank water,4,in winter,3,Male,2.1300001
31138,2,weekday,not drank water,6,in winter,3,Male,2.1300001
31139,1,weekend,has drank water,7,not in winter,18,Female,4.9099998
31139,2,weekday,has drank water,4,not in winter,18,Female,4.9099998
31140,1,weekend,has drank water,7,in winter,11,Female,5
31140,2,weekend,has drank water,1,in winter,11,Female,5
31141,1,weekday,has drank water,6,not in winter,16,Male,5
31141,2,weekday,has drank water,4,not in winter,16,Male,5
31142,1,weekday,has drank water,6,in winter,7,Male,.50999999
31142,2,weekday,has drank water,2,in winter,7,Male,.50999999
31143,1,weekday,has drank water,4,not in winter,19,Male,5
31143,2,weekday,has drank water,2,not in winter,19,Male,5
31144,1,weekend,has drank water,7,not in winter,21,Male,.46000001
31144,2,weekday,has drank water,3,not in winter,21,Male,.46000001
31145,1,weekend,has drank water,1,not in winter,10,Female,3.3199999
31145,2,weekend,has drank water,1,not in winter,10,Female,3.3199999
31146,1,,,,not in winter,8,Female,2.6300001
31146,2,,,,not in winter,8,Female,2.6300001
31147,1,weekend,not drank water,7,not in winter,7,Female,.77999997
31147,2,weekday,not drank water,3,not in winter,7,Female,.77999997
31148,1,weekday,not drank water,4,in winter,16,Female,1.0599999
31148,2,weekend,has drank water,1,in winter,16,Female,1.0599999
31149,1,weekday,has drank water,2,not in winter,85,Female,.050000001
31149,2,,,,not in winter,85,Female,.050000001
