doeid,division,uatyp10,internet,uatyp10_i,prop
10001,Pacific,U,1,C,1
10002,West South Central,R,1,R,1
10003,East South Central,U,1,C,1
10004,West North Central,C,1,C,1
10005,Middle Atlantic,U,1,C,1
10006,New England,C,1,C,1
10007,South Atlantic,U,0,C,0
10008,East North Central,R,1,R,1
10009,Middle Atlantic,U,1,C,1
10010,West South Central,U,1,C,1
10011,New England,U,1,C,1
10012,West North Central,U,1,C,1
10013,East South Central,C,1,C,1
10014,East North Central,U,1,C,1
10015,Mountain North,U,1,C,1
10016,West South Central,U,1,C,1
10017,South Atlantic,U,1,C,1
10018,Middle Atlantic,U,1,C,1
10019,Pacific,U,1,C,1
10020,South Atlantic,R,1,R,1
10021,Pacific,U,1,C,1
10022,South Atlantic,U,1,C,1
10023,East North Central,U,1,C,1
10024,South Atlantic,U,0,C,0
10025,East North Central,U,1,C,1
10026,Middle Atlantic,U,1,C,1
10027,South Atlantic,U,1,C,1
10028,South Atlantic,R,0,R,0
10029,South Atlantic,U,1,C,1
10030,Middle Atlantic,C,1,C,1
10031,Mountain South,U,1,C,1
10032,West South Central,U,1,C,1
10033,Middle Atlantic,U,1,C,1
10034,Middle Atlantic,U,1,C,1
10035,South Atlantic,U,1,C,1
10036,Middle Atlantic,U,1,C,1
10037,East South Central,U,0,C,0
10038,East South Central,R,0,R,0
10039,Mountain North,R,1,R,1
10040,South Atlantic,U,1,C,1
10041,West North Central,U,1,C,1
10042,West North Central,U,1,C,1
10043,Pacific,U,1,C,1
10044,New England,U,1,C,1
10045,Pacific,U,1,C,1
10046,New England,U,1,C,1
10047,Pacific,R,1,R,1
10048,South Atlantic,U,1,C,1
10049,West South Central,U,1,C,1
10050,West South Central,R,0,R,0
10051,East North Central,R,1,R,1
10052,Middle Atlantic,R,1,R,1
10053,West South Central,U,0,C,0
10054,East North Central,U,1,C,1
10055,New England,R,1,R,1
10056,West North Central,R,1,R,1
10057,Pacific,U,1,C,1
10058,West South Central,U,1,C,1
10059,East South Central,R,1,R,1
10060,South Atlantic,U,1,C,1
10061,Pacific,U,1,C,1
10062,South Atlantic,U,1,C,1
10063,West North Central,U,1,C,1
10064,Mountain South,R,1,R,1
10065,Pacific,U,1,C,1
10066,East North Central,U,1,C,1
10067,East North Central,C,1,C,1
10068,Middle Atlantic,U,1,C,1
10069,Pacific,C,0,C,0
10070,East South Central,C,1,C,1
10071,New England,U,1,C,1
10072,Pacific,U,0,C,0
10073,Mountain North,U,1,C,1
10074,East South Central,U,1,C,1
10075,New England,R,1,R,1
10076,West North Central,U,1,C,1
10077,West South Central,C,1,C,1
10078,Pacific,U,1,C,1
10079,West South Central,U,1,C,1
10080,West South Central,R,1,R,1
10081,East North Central,U,1,C,1
10082,East South Central,R,1,R,1
10083,East North Central,U,1,C,1
10084,Mountain North,U,1,C,1
10085,Pacific,U,1,C,1
10086,Pacific,U,1,C,1
10087,South Atlantic,U,1,C,1
10088,West South Central,U,1,C,1
10089,East North Central,U,1,C,1
10090,Pacific,U,1,C,1
10091,East North Central,U,1,C,1
10092,East North Central,C,1,C,1
10093,East North Central,R,1,R,1
10094,East North Central,U,1,C,1
10095,East South Central,C,1,C,1
10096,Mountain North,U,1,C,1
10097,East South Central,C,1,C,1
10098,Pacific,R,1,R,1
10099,East South Central,R,0,R,0
10100,Pacific,R,1,R,1
10101,East North Central,U,0,C,0
10102,Pacific,U,1,C,1
10103,Pacific,U,1,C,1
10104,South Atlantic,U,1,C,1
10105,South Atlantic,U,1,C,1
10106,East North Central,U,1,C,1
10107,Middle Atlantic,U,1,C,1
10108,East North Central,U,1,C,1
10109,South Atlantic,U,1,C,1
10110,East South Central,U,1,C,1
10111,East South Central,C,1,C,1
10112,South Atlantic,U,1,C,1
10113,East North Central,U,1,C,1
10114,South Atlantic,U,0,C,0
10115,East North Central,U,0,C,0
10116,West South Central,R,0,R,0
10117,East North Central,U,1,C,1
10118,West South Central,R,1,R,1
10119,Mountain South,U,1,C,1
10120,Middle Atlantic,U,1,C,1
10121,Middle Atlantic,U,1,C,1
10122,South Atlantic,U,0,C,0
10123,West South Central,U,1,C,1
10124,East North Central,R,1,R,1
10125,Pacific,U,1,C,1
10126,Pacific,U,0,C,0
10127,South Atlantic,R,1,R,1
10128,South Atlantic,R,0,R,0
10129,South Atlantic,U,1,C,1
10130,West South Central,U,1,C,1
10131,Pacific,U,1,C,1
10132,New England,C,1,C,1
10133,South Atlantic,R,1,R,1
10134,South Atlantic,U,1,C,1
10135,Pacific,U,1,C,1
10136,Mountain South,U,1,C,1
10137,West South Central,C,1,C,1
10138,West North Central,U,1,C,1
10139,South Atlantic,U,1,C,1
10140,East North Central,C,1,C,1
10141,South Atlantic,U,1,C,1
10142,South Atlantic,C,1,C,1
10143,South Atlantic,R,1,R,1
10144,Middle Atlantic,U,0,C,0
10145,Pacific,U,1,C,1
10146,East North Central,R,1,R,1
10147,West South Central,R,1,R,1
10148,Mountain North,R,1,R,1
10149,East South Central,U,1,C,1
10150,West North Central,U,1,C,1
10151,Pacific,U,0,C,0
10152,West South Central,R,0,R,0
10153,South Atlantic,R,1,R,1
10154,South Atlantic,U,1,C,1
10155,South Atlantic,U,1,C,1
10156,New England,R,1,R,1
10157,East North Central,U,1,C,1
10158,South Atlantic,U,1,C,1
10159,West North Central,U,0,C,0
10160,Middle Atlantic,U,1,C,1
10161,South Atlantic,U,1,C,1
10162,West South Central,R,1,R,1
10163,Middle Atlantic,R,1,R,1
10164,South Atlantic,U,0,C,0
10165,Pacific,R,1,R,1
10166,West South Central,R,1,R,1
10167,West South Central,U,0,C,0
10168,East North Central,R,1,R,1
10169,West North Central,C,0,C,0
10170,West South Central,C,0,C,0
10171,West North Central,U,1,C,1
10172,West South Central,C,1,C,1
10173,West South Central,U,0,C,0
10174,Pacific,U,0,C,0
10175,New England,U,1,C,1
10176,West South Central,R,1,R,1
10177,East South Central,U,0,C,0
10178,Middle Atlantic,U,1,C,1
10179,Pacific,U,1,C,1
10180,West South Central,R,1,R,1
10181,Mountain South,U,1,C,1
10182,East South Central,R,0,R,0
10183,West South Central,R,0,R,0
10184,New England,U,1,C,1
10185,West South Central,C,0,C,0
10186,West South Central,U,0,C,0
10187,East North Central,U,1,C,1
10188,West South Central,C,1,C,1
10189,East North Central,U,1,C,1
10190,Pacific,U,1,C,1
10191,South Atlantic,U,1,C,1
10192,West North Central,R,1,R,1
10193,East North Central,U,1,C,1
10194,East North Central,U,1,C,1
10195,Pacific,U,1,C,1
10196,Pacific,C,1,C,1
10197,West North Central,U,1,C,1
10198,South Atlantic,U,1,C,1
10199,West North Central,U,1,C,1
10200,West South Central,R,1,R,1
10201,Pacific,U,1,C,1
10202,Mountain North,U,1,C,1
10203,South Atlantic,U,1,C,1
10204,Pacific,U,1,C,1
10205,West North Central,U,1,C,1
10206,Pacific,U,1,C,1
10207,Middle Atlantic,C,1,C,1
10208,Pacific,R,1,R,1
10209,West North Central,U,1,C,1
10210,Pacific,U,1,C,1
10211,East South Central,C,1,C,1
10212,New England,U,1,C,1
10213,New England,R,0,R,0
10214,Pacific,U,1,C,1
10215,Pacific,C,1,C,1
10216,Mountain North,R,1,R,1
10217,New England,U,1,C,1
10218,South Atlantic,U,1,C,1
10219,South Atlantic,U,1,C,1
10220,East North Central,U,1,C,1
10221,Pacific,U,1,C,1
10222,West North Central,U,1,C,1
10223,Pacific,R,1,R,1
10224,New England,U,1,C,1
