division,uatyp10_i,prop,fid
New England,C,.87571597,0
New England,R,.85791492,0
Middle Atlantic,C,.89337802,0
Middle Atlantic,R,.91287619,0
East North Central,C,.86251801,0
East North Central,R,.86210293,0
West North Central,C,.88004982,0
West North Central,R,.8032515,0
South Atlantic,C,.85297287,0
South Atlantic,R,.82040966,0
East South Central,C,.78360724,0
East South Central,R,.69025964,0
West South Central,C,.81605053,0
West South Central,R,.76502746,0
Mountain North,C,.87422138,0
Mountain North,R,.81926268,0
Mountain South,C,.85266036,0
Mountain South,R,.66749054,0
Pacific,C,.88710916,0
Pacific,R,.85278594,0
