DIVISION,night_temp_est,home_temp_est,gone_temp_est,night_lwr,night_upr,home_lwr,home_upr,gone_lwr,gone_upr
New_Engl,65.671957991,68.180107712,64.610188668,64.882271599,66.461644382,67.307741138,69.052474286,64.016255595,65.20412174
Middle_A,67.303423368,69.207601693,66.488012879,66.831226752,67.775619984,68.822650065,69.592553321,66.022587959,66.953437798
East_Nor,67.932677267,69.703463439,66.83602671,67.559950173,68.30540436,69.357660051,70.049266826,66.547305623,67.124747798
West_Nor,68.067974799,69.634451694,67.178921389,67.585243731,68.550705868,69.224047934,70.044855454,66.605414263,67.752428515
South_At,69.198682168,70.64660764,68.546976157,68.77466161,69.622702727,70.356491947,70.936723332,68.159032235,68.934920079
East_Sou,69.307722775,70.628398567,68.139873847,68.759287458,69.856158091,70.18733737,71.069459765,67.449074393,68.830673301
West_Sou,69.861102407,71.294284328,68.267258422,69.503993428,70.218211385,70.887297334,71.701271321,67.422798805,69.111718038
Mountain,66.807758946,69.249815901,65.930505464,65.726359116,67.889158777,68.5953758,69.904256002,65.359156776,66.501854152
Mountain,68.881581403,70.828766849,67.41744208,66.748259432,71.014903373,69.89127652,71.766257179,65.78797694,69.04690722
Pacific,66.543762971,69.759334406,65.340390845,66.042404118,67.045121824,69.325157965,70.193510847,64.987686617,65.693095072
